时间 - Uca,Voltage [V] - Uca
27:43.6,0.0525157
27:43.6,0.0528371
27:43.6,0.0521944
27:43.6,0.0528371
27:43.6,0.0518731
27:43.6,0.0531584
27:43.6,0.0525157
27:43.6,0.0538011
27:43.6,0.0521944
27:43.6,0.0541224
27:43.6,0.0518731
27:43.6,0.0525157
27:43.6,0.0518731
27:43.6,0.0528371
27:43.6,0.0518731
27:43.6,0.0528371
27:43.6,0.0518731
27:43.6,0.0528371
27:43.6,0.0518731
27:43.6,0.0531584
27:43.6,0.0528371
27:43.6,0.0544438
27:43.6,0.0534797
27:43.6,0.0547651
27:43.6,0.0538011
27:43.6,0.0550864
27:43.6,0.0541224
27:43.6,0.0557291
27:43.6,0.0541224
27:43.6,0.0554078
27:43.6,0.0550864
27:43.6,0.0563718
27:43.6,0.0557291
27:43.6,0.0570145
27:43.6,0.0566931
27:43.6,0.0586212
27:43.6,0.0573358
27:43.6,0.0595852
27:43.6,0.0592638
27:43.6,0.0611919
27:43.6,0.0608705
27:43.6,0.0631199
27:43.6,0.0618345
27:43.6,0.0637626
27:43.6,0.0624772
27:43.6,0.0631199
